dropped,beta,p,shift
CRI,0.1790759274270972,0.00014921473868145796,0.0
CYP,0.1790759274270972,0.00014921473868145796,0.0
CZE,0.1790759274270972,0.00014921473868145796,0.0
DEU,0.18178885688407348,0.00011876159112578222,0.002712929456976293
DNK,0.1806719080355606,0.0001244009153680281,0.0015959806084634154
DOM,0.1790759274270972,0.00014921473868145796,0.0
DZA,0.18166394947503778,0.00012573272268601166,0.0025880220479405913
ECU,0.17798560118376547,0.00018987984810991954,0.0010903262433317185
EGY,0.1790759274270972,0.00014921473868145796,0.0
ESP,0.1790759274270972,0.00014921473868145796,0.0
EST,0.18087800097671913,0.00013513513619645146,0.0018020735496219464
ETH,0.1813306864572978,0.000129780528814738,0.002254759030200615
FIN,0.17828454192526136,0.00016048746174845974,0.0007913855018358285
FJI,0.16389655618834054,0.0005289067479217202,0.01517937123875665
FRA,0.180910785017997,0.000135411741050806,0.0018348575908998244
GAB,0.17782342901775414,0.00018437945503979591,0.0012524984093430502
GBR,0.1790759274270972,0.00014921473868145796,0.0
GEO,0.17364387085860883,0.0002953617537966302,0.005432056568488358
GHA,0.17554978115861372,0.00021872533803790617,0.0035261462684834655
GIN,0.18116744873929236,0.00012940098896119245,0.0020915213121951715
GMB,0.1790759274270972,0.00014921473868145796,0.0
GNB,0.1790759274270972,0.00014921473868145796,0.0
GRC,0.17755828757569922,0.00018683323735335655,0.0015176398513979672
GTM,0.17860403030080424,0.0002761566079647615,0.0004718971262929472
GUF,0.1790759274270972,0.00014921473868145796,0.0
GUY,0.1790759274270972,0.00014921473868145796,0.0
HKG,0.1790759274270972,0.00014921473868145796,0.0
HND,0.17994774004744524,0.0001648616815785875,0.0008718126203480503
HRV,0.17801201408805603,0.00018918424147340573,0.001063913339041156
HTI,0.1790759274270972,0.00014921473868145796,0.0
HUN,0.17894657315835244,0.00013359022817249766,0.00012935426874474687
IDN,0.17676313013007947,0.00013505210602993145,0.0023127972970177213
IND,0.17832829373822606,0.00017317310711129075,0.0007476336888711244
IRL,0.1790759274270972,0.00014921473868145796,0.0
IRQ,0.1771100420397306,0.00019760520762734934,0.001965885387366584
ISR,0.1802179387211753,0.0001725232637210805,0.0011420112940781213
ITA,0.18329451234783986,0.00012457977831825673,0.004218584920742674
JAM,0.1790759274270972,0.00014921473868145796,0.0
JOR,0.17889083004424486,0.00013664660496437442,0.00018509738285232835
JPN,0.18000042370316263,0.00014599127595493755,0.0009244962760654452
KAZ,0.18308313055440245,0.00011967483052410799,0.004007203127305264
KEN,0.17982449649489943,0.00016559974046725934,0.0007485690678022405
KGZ,0.17669206535037238,0.00011102619478742248,0.0023838620767248075
KHM,0.17609100265967992,0.00021408540841671986,0.0029849247674172685
KOR,0.18055769420241086,0.00018267698290341805,0.0014817667753136698
KWT,0.1790759274270972,0.00014921473868145796,0.0
LAO,0.17620657890938796,0.00031449162837571265,0.0028693485177092304
LBR,0.1790759274270972,0.00014921473868145796,0.0
LBY,0.1808826199892875,0.00014989345022398126,0.0018066925621903207
LKA,0.1790759274270972,0.00014921473868145796,0.0
LSO,0.18157419471905456,0.00012383145077565771,0.0024982672919573734
LTU,0.17696403404354483,0.00021167370506236516,0.00211189338355236
LUX,0.1790759274270972,0.00014921473868145796,0.0
LVA,0.17825577165523304,0.00018314947076825128,0.000820155771864145
MAC,0.18413386278436786,7.816569360707959e-05,0.005057935357270671
MAR,0.17849251722105272,0.0001727074707245091,0.0005834102060444657
MDA,0.1754694883107208,0.000196577001833953,0.0036064391163763976
MDG,0.18074802133065704,0.00015132875798862244,0.0016720939035598514
MEX,0.18026564561044958,0.00010084711498681287,0.001189718183352395
MKD,0.17288549260459607,0.0002035176905581526,0.006190434822501117
MLI,0.1830323978512026,0.00011028306072091709,0.003956470424105407
MLT,0.1790759274270972,0.00014921473868145796,0.0
MMR,0.18387911677463573,0.00010617194810502717,0.004803189347538539
MNE,0.1790759274270972,0.00014921473868145796,0.0
MNG,0.17582945694604332,0.0002502137598172638,0.0032464704810538647
MOZ,0.18136923606420613,0.00015579916183083853,0.002293308637108943
MRT,0.18039719353667874,0.0001267287721034016,0.0013212661095815537
MWI,0.1821011653876506,0.0002109290844336531,0.0030252379605534008
MYS,0.17788438039367743,0.00016824292475603464,0.0011915470334197542
NAM,0.1790759274270972,0.00014921473868145796,0.0
NCL,0.1790759274270972,0.00014921473868145796,0.0
NER,0.1790759274270972,0.00014921473868145796,0.0
NGA,0.1790759274270972,0.00014921473868145796,0.0
NIC,0.17885561038809294,0.00015523974562547949,0.00022031703900424193
NLD,0.1790759274270972,0.00014921473868145796,0.0
NOR,0.1790759274270972,0.00014921473868145796,0.0
NPL,0.16778470067717574,0.0003013193994230168,0.011291226749921446
NZL,0.1797389952875713,0.00016071627316960324,0.0006630678604741258
OMN,0.1790759274270972,0.00014921473868145796,0.0
PAK,0.18135496204153034,9.167831896372824e-05,0.0022790346144331564
PAN,0.1790759274270972,0.00014921473868145796,0.0
PER,0.1831872873255711,0.00011202907613783175,0.004111359898473915
PHL,0.1790759274270972,0.00014921473868145796,0.0
POL,0.18049730136456937,0.00013872544804027775,0.0014213739374721868
PRT,0.1790759274270972,0.00014921473868145796,0.0
PRY,0.1861510897029565,0.00011681951195385842,0.007075162275859304
PSE,0.1815027286698904,0.00012138936890648822,0.0024268012427932084
QAT,0.1790759274270972,0.00014921473868145796,0.0
REU,0.1790759274270972,0.00014921473868145796,0.0
ROU,0.176717991576238,0.0001661074808496643,0.002357935850859194
RUS,0.1756156021199388,0.00024232775478782997,0.003460325307158396
RWA,0.16521350454372175,0.0005173024155660233,0.013862422883375441
SAU,0.1790759274270972,0.00014921473868145796,0.0
SEN,0.18115891439185394,0.00017613927094495274,0.0020829869647567556
SLE,0.1790759274270972,0.00014921473868145796,0.0
SLV,0.18315393209868472,0.00012431730210615832,0.004078004671587532
SMR,0.1790759274270972,0.00014921473868145796,0.0
SOM,0.1790759274270972,0.00014921473868145796,0.0
